id,year,month,day,mets,pdf,label
1,1891,12,02,1207151520407862.xml,1207151520414139.pdf,1891-12-02
2,1891,12,03,1207151520517768.xml,1207151520524513.pdf,1891-12-03
3,1891,12,04,1207151520629759.xml,1207151520636571.pdf,1891-12-04
4,1891,12,05,1207151521128536.xml,1207151521134704.pdf,1891-12-05
5,1891,12,07,1207151521222071.xml,1207151521229153.pdf,1891-12-07
6,1891,12,08,1207151521310680.xml,1207151521316777.pdf,1891-12-08
7,1891,12,09,1207151521432441.xml,1207151521439415.pdf,1891-12-09
8,1891,12,10,1207151521563961.xml,1207151521570964.pdf,1891-12-10
9,1891,12,11,1207151521671587.xml,1207151521678381.pdf,1891-12-11
10,1891,12,12,1207151521815643.xml,1207151521823845.pdf,1891-12-12
11,1891,12,14,1207151521971158.xml,1207151521977618.pdf,1891-12-14
12,1891,12,14,1207151522108952.xml,1207151522117112.pdf,1891-12-14
13,1891,12,15,1207151522225503.xml,1207151522231782.pdf,1891-12-15
14,1891,12,15,1207151522374425.xml,1207151522382788.pdf,"1891-12-15 (Supplement)"
15,1891,12,16,1207151522490195.xml,1207151522498832.pdf,1891-12-16
16,1891,12,16,1207151522618844.xml,1207151522625105.pdf,"1891-12-16 (Supplement)"
17,1891,12,17,1207151522710879.xml,1207151522717787.pdf,1891-12-17
18,1891,12,17,1207151522812759.xml,1207151522819233.pdf,"1891-12-17 (Supplement)"
19,1891,12,18,1207151522914034.xml,1207151522921273.pdf,1891-12-18
20,1891,12,29,1207151523129415.xml,1207151523136019.pdf,1891-12-29
21,1891,12,30,1207151523248928.xml,1207151523255700.pdf,1891-12-30
22,1891,12,18,120715152335719.xml,120715152341944.pdf,"1891-12-18 (Supplement)"
23,1891,12,31,1207151523366568.xml,1207151523372950.pdf,1891-12-31
24,1892,01,01,1207182084123030.xml,1207182084130225.pdf,1892-01-01
25,1892,01,02,1207182084274802.xml,1207182084282029.pdf,1892-01-02
26,1892,01,04,1207182084463731.xml,1207182084469393.pdf,1892-01-04
27,1892,01,05,1207182084675167.xml,1207182084680900.pdf,1892-01-05
28,1892,01,06,1207182085608591.xml,1207182085616217.pdf,1892-01-06
29,1892,01,07,1207182085750144.xml,1207182085755977.pdf,1892-01-07
30,1892,01,08,1207182085929115.xml,1207182085935220.pdf,1892-01-08
31,1892,01,09,1207182086135696.xml,1207182086141463.pdf,1892-01-09
32,1892,01,11,1207182086279258.xml,1207182086284992.pdf,1892-01-11
33,1892,01,12,1207182086455489.xml,1207182086461210.pdf,1892-01-12
34,1892,01,13,1207182086560058.xml,1207182086565758.pdf,1892-01-13
35,1892,01,14,1207182086733274.xml,1207182086740546.pdf,1892-01-14
36,1892,01,15,1207182086859614.xml,1207182086865633.pdf,1892-01-15
37,1892,01,18,1207182087160932.xml,1207182087166947.pdf,1892-01-18
38,1892,01,19,1207182087267373.xml,1207182087273233.pdf,1892-01-19
39,1892,01,20,1207182087382665.xml,1207182087388659.pdf,1892-01-20
40,1892,01,16,120718208739391.xml,120718208747297.pdf,1892-01-16
41,1892,01,21,1207182087510095.xml,1207182087516287.pdf,1892-01-21
42,1892,01,22,1207182087614137.xml,1207182087619839.pdf,1892-01-22
43,1892,01,23,1207182087724752.xml,1207182087730455.pdf,1892-01-23
44,1892,01,25,1207182087851700.xml,1207182087857462.pdf,1892-01-25
45,1892,01,26,1207182087971803.xml,1207182087978058.pdf,1892-01-26
46,1892,01,29,1207182088208056.xml,1207182088213750.pdf,1892-01-29
47,1892,01,30,1207182088317843.xml,1207182088323900.pdf,1892-01-30
48,1892,02,01,1207182088468949.xml,1207182088474772.pdf,1892-02-01
49,1892,02,02,1207182088625014.xml,1207182088630899.pdf,1892-02-02
50,1892,02,03,1207182088756744.xml,1207182088762838.pdf,1892-02-03
51,1892,01,27,120718208888311.xml,120718208894655.pdf,1892-01-27
52,1892,02,04,1207182088892738.xml,1207182088898508.pdf,1892-02-04
53,1892,02,06,1207182089145869.xml,1207182089151759.pdf,1892-02-06
54,1892,02,05,120718208916534.xml,120718208922806.pdf,1892-02-05
55,1892,02,08,1207182089298932.xml,1207182089304737.pdf,1892-02-08
56,1892,02,09,1207182089442165.xml,1207182089448797.pdf,1892-02-09
57,1892,02,10,1207182089588005.xml,1207182089593894.pdf,1892-02-10
58,1892,02,11,1207182089729076.xml,1207182089734976.pdf,1892-02-11
59,1892,02,12,1207182089885666.xml,1207182089891833.pdf,1892-02-12
60,1892,02,15,1207182090157198.xml,1207182090163074.pdf,1892-02-15
61,1892,02,13,120718209019440.xml,120718209025746.pdf,1892-02-13
62,1892,02,16,1207182090278162.xml,1207182090284387.pdf,1892-02-16
63,1892,02,17,1207182090404311.xml,1207182090410607.pdf,1892-02-17
64,1892,02,18,1207182090531172.xml,1207182090537246.pdf,1892-02-18
65,1892,02,19,1207182090669794.xml,1207182090675572.pdf,1892-02-19
66,1892,02,20,1207182090802634.xml,1207182090808907.pdf,1892-02-20
67,1892,02,23,1207182090937858.xml,1207182090943834.pdf,1892-02-23
68,1892,02,25,1207182091327673.xml,1207182091335220.pdf,1892-02-25
69,1892,02,26,1207182091482508.xml,1207182091488263.pdf,1892-02-26
70,1892,02,27,1207182091618589.xml,1207182091624495.pdf,1892-02-27
71,1892,02,29,1207182091767275.xml,1207182091773137.pdf,1892-02-29
72,1892,02,24,120718209176885.xml,120718209182908.pdf,1892-02-24
73,1892,03,01,1207182091884267.xml,1207182091890474.pdf,1892-03-01
74,1892,03,03,1207182092201645.xml,1207182092207534.pdf,1892-03-03
75,1892,03,04,1207182092322307.xml,1207182092328547.pdf,1892-03-04
76,1892,03,05,1207182092468711.xml,1207182092474580.pdf,1892-03-05
77,1892,03,02,120718209250047.xml,120718209256251.pdf,1892-03-02
78,1892,03,07,1207182092615132.xml,1207182092621476.pdf,1892-03-07
79,1892,03,08,1207182092752496.xml,1207182092758423.pdf,1892-03-08
80,1892,03,09,1207182092907815.xml,1207182092913982.pdf,1892-03-09
81,1892,03,11,1207182093267238.xml,1207182093273503.pdf,1892-03-11
82,1892,03,12,1207182093442796.xml,1207182093450938.pdf,1892-03-12
83,1892,03,14,1207182093593975.xml,1207182093600386.pdf,1892-03-14
84,1892,03,15,1207182093805951.xml,1207182093812187.pdf,1892-03-15
85,1892,03,10,120718209387919.xml,120718209394847.pdf,1892-03-10
86,1892,03,16,120718209420195.xml,120718209426039.pdf,1892-03-16
87,1892,03,17,1207182094212511.xml,1207182094218900.pdf,1892-03-17
88,1892,03,18,1207182094429920.xml,1207182094436043.pdf,1892-03-18
89,1892,03,22,1207182094656897.xml,1207182094663206.pdf,1892-03-22
90,1892,04,01,1207182094890202.xml,1207182094896196.pdf,1892-04-01
91,1892,04,02,1207182095174532.xml,1207182095180728.pdf,1892-04-02
92,1892,04,04,1207182095334116.xml,1207182095339962.pdf,1892-04-04
93,1892,04,05,1207182095572732.xml,1207182095578608.pdf,1892-04-05
94,1892,04,06,1207182095877948.xml,1207182095883808.pdf,1892-04-06
95,1892,04,07,1207182096117850.xml,1207182096124115.pdf,1892-04-07
96,1892,04,08,1207182096358988.xml,1207182096364983.pdf,1892-04-08
97,1892,04,09,1207182096559666.xml,1207182096565945.pdf,1892-04-09
98,1892,04,11,1207182096776424.xml,1207182096782443.pdf,1892-04-11
99,1892,04,12,120718209733528.xml,120718209739606.pdf,1892-04-12
100,1892,04,13,1207182097608197.xml,1207182097614380.pdf,1892-04-13
101,1892,04,14,1207182097961117.xml,1207182097967281.pdf,1892-04-14
102,1892,04,15,1207182098219858.xml,1207182098226276.pdf,1892-04-15
103,1892,04,16,1207182098488908.xml,1207182098495000.pdf,1892-04-16
104,1892,04,18,1207182098727013.xml,1207182098732920.pdf,1892-04-18
105,1892,04,19,1207182098966775.xml,1207182098975011.pdf,1892-04-19
106,1892,04,20,1207182099214387.xml,1207182099220283.pdf,1892-04-20
107,1892,04,21,1207182099445029.xml,1207182099451397.pdf,1892-04-21
108,1892,04,22,1207182099713565.xml,1207182099719510.pdf,1892-04-22
109,1892,04,23,1207182099952708.xml,1207182099958881.pdf,1892-04-23
110,1892,04,25,1207182100191006.xml,1207182100197381.pdf,1892-04-25
111,1892,04,26,1207182100419670.xml,1207182100425708.pdf,1892-04-26
112,1892,04,27,1207182100642475.xml,1207182100648870.pdf,1892-04-27
113,1892,04,28,1207182100902831.xml,1207182100908742.pdf,1892-04-28
114,1892,04,29,1207182101233131.xml,1207182101239063.pdf,1892-04-29
115,1892,04,30,1207182101463604.xml,1207182101470193.pdf,1892-04-30
116,1892,05,02,1207182101714029.xml,1207182101719882.pdf,1892-05-02
117,1892,05,03,1207182101974872.xml,1207182101981167.pdf,1892-05-03
118,1892,05,04,1207182102218689.xml,1207182102226435.pdf,1892-05-04
119,1892,05,05,1207182102479732.xml,1207182102486108.pdf,1892-05-05
120,1892,05,06,1207182102717480.xml,1207182102723661.pdf,1892-05-06
121,1892,05,07,1207182102943669.xml,1207182102950307.pdf,1892-05-07
122,1892,05,09,1207182103162013.xml,1207182103168337.pdf,1892-05-09
123,1892,05,10,1207182103442736.xml,1207182103449031.pdf,1892-05-10
124,1892,05,11,1207182103658398.xml,1207182103664740.pdf,1892-05-11
125,1892,05,12,1207182103877883.xml,1207182103884185.pdf,1892-05-12
126,1892,05,13,1207182104110480.xml,1207182104117217.pdf,1892-05-13
127,1892,05,14,1207182104349143.xml,1207182104355532.pdf,1892-05-14
128,1892,05,16,1207182104544067.xml,1207182104550622.pdf,1892-05-16
129,1892,05,17,1207182104787609.xml,1207182104793833.pdf,1892-05-17
130,1892,05,18,120718210512211.xml,120718210518133.pdf,1892-05-18
131,1892,05,19,1207182105246602.xml,1207182105252487.pdf,1892-05-19
132,1892,05,20,1207182105476283.xml,1207182105482576.pdf,1892-05-20
133,1892,05,21,1207182105722544.xml,1207182105728565.pdf,1892-05-21
